173;70;48127;43269;0.186;33;2.34;0.445;0.078;0.892285092;0.043330956
102;50;49348;21026;0.146;45;2.62;0.542;0.07;0.909221902;0.037294878
427;202;44243;75882;0.171;42.8;2.52;0.527;0.121;0.917446865;0.046038408
57;26;49955;10321;0.125;48.3;2.34;0.578;0.048;0.941040239;0.067966574
428;152;52313;61023;0.156;45.4;2.58;0.504;0.129;0.848826307;0.04964476
250;97;37782;41516;0.232;42.6;2.42;0.541;0.089;0.751064551;0.042043173
146;71;40189;20848;0.178;51.7;2.24;0.527;0.089;0.89406636;0.05889179
88;36;42579;13088;0.223;49.3;2.38;0.559;0.103;0.917874769;0.055875831
113;36;54721;16252;0.127;54.4;2.04;0.568;0.059;0.925733267;0.045861298
740;269;51395;121846;0.157;41;2.56;0.536;0.082;0.855902734;0.058181533
55;26;52673;11339;0.126;45.2;2.49;0.544;0.083;0.934181268;0.04805592
251;106;43823;43791;0.193;46.2;2.44;0.572;0.094;0.891774594;0.036310821
58;22;41039;11766;0.17;45.6;0.028;0.505;0.067;0.973762167;0.03528435
250;103;36996;35516;0.211;45.3;2.28;0.522;0.072;0.941428812;0.043543544
145;66;35980;23353;0.212;44.6;2.25;0.387;0.081;0.971582703;0.022832007
124;50;40568;16448;0.2;43.3;2.48;0.506;0.072;0.978094195;0.043741007
56;19;36466;6966;0.171;47.7;2.26;0.605;0.076;0.981640849;0.038686131
61;27;41019;8975;0.158;46.2;2.48;0.535;0.109;0.987379608;0.019889503
142;60;38387;24758;0.197;41.8;2.57;0.515;0.08;0.974144951;0.053009387
236;102;37242;40971;0.2;42.5;2.47;0.489;0.099;0.979300706;0.041120053
65;33;29331;8755;0.261;46.3;2.28;0.541;0.148;0.979836451;0.042035398
120;50;40013;15816;0.185;46;2.46;0.514;0.081;0.984403045;0.061611374
35;14;38600;5880;0.203;45;2.4;0.522;0.084;0.974148262;0.059689289
554;217;41932;86452;0.172;42.5;2.37;0.511;0.086;0.961898821;0.062387027
134;69;34419;22151;0.228;42.8;2.48;0.557;0.101;0.977258812;0.060186143
164;73;42063;20148;0.178;51.4;2.47;0.509;0.101;0.931885971;0.038611291
90;45;41294;15843;0.149;42.2;2.29;0.459;0.079;0.84962171;0.064603365
254;112;46375;45563;0.137;43.9;2.35;0.558;0.06;0.956616907;0.058843122
88;42;44395;14977;0.136;50.8;2.16;0.585;0.072;0.863787375;0.055470543
108;41;76206;25515;0.075;36.6;2.96;0.566;0.074;0.766373882;0.061945449
90;32;64305;16269;0.088;40.7;2.66;0.585;0.054;0.765235758;0.066317169
101;48;45827;10965;0.137;55.6;2.13;0.514;0.079;0.69772666;0.042973287
107;73;31429;24742;0.266;42.8;2.52;0.498;0.12;0.93933984;0.062082515
862;283;122641;375629;0.039;35.3;3.08;0.612;0.04;0.677702497;0.061987484
183;77;60121;34602;0.115;43.7;2.64;0.551;0.081;0.783881598;0.050155468
70;33;37548;12299;0.224;44.7;2.48;0.457;0.073;0.618171683;0.074804956
84;31;52513;13134;0.123;44.6;2.58;0.522;0.066;0.85783829;0.062569832
72;27;58268;8862;0.106;51.1;2.3;0.636;0.033;0.863288288;0.019068985
216;109;38500;31081;0.211;47.2;2.41;0.444;0.069;0.605736017;0.04664723
100;43;48921;10606;0.144;52.7;2.38;0.544;0.063;0.794345433;0.027146814
309;120;43484;97653;0.248;27.5;2.48;0.391;0.056;0.867208475;0.031354141
120;44;48076;14785;0.134;48.4;2.33;0.5;0.057;0.838941984;0.057404891
94;39;72406;20392;0.062;43.1;2.61;0.606;0.061;0.816411043;0.02628491
103;48;36822;12155;0.215;48.3;2.26;0.464;0.095;0.615971766;0.064557503
107;49;51422;12232;0.143;55.1;2.1;0.61;0.087;0.704648895;0.072780204
106;44;37996;15673;0.243;41.5;0.0254;0.427;0.108;0.568200624;0.07331771
225;82;59282;35385;0.107;42.6;2.66;0.547;0.079;0.825846919;0.021006684
137;65;44851;23726;0.169;44.1;2.52;0.531;0.093;0.956339387;0.059633028
97;52;34885;18045;0.219;48;2.31;0.535;0.083;0.922032414;0.029445397
346;156;44207;62194;0.146;546;2.36;0.535;0.077;0.748447304;0.041945663
145;52;75539;28031;0.071;43.7;2.63;0.575;0.049;0.850427199;0.056152927
99;48;37543;22952;0.255;32.1;2.49;0.361;0.07;0.640821823;0.076080051
171;71;41132;29119;0.156;43.6;2.44;0.537;0.096;0.949948613;0.029337139
272;103;81169;67837;0.055;39.5;2.73;0.615;0.058;0.770486378;0.049251631
405;165;86419;153511;0.096;36;2.21;0.441;0.045;0.640946991;0.062148275
64;58;34099;17141;0.218;41.8;2.22;0.462;0.107;0.899109792;0.038683748
46;19;38331;6618;0.172;33.8;2.26;0.481;0.073;0.902790279;0.118876942
40;24;26204;7486;0.362;38.5;2.49;0.36;0.253;0.289395696;0.061538462
697;222;58368;149039;0.111;36.9;2.62;0.535;0.054;0.771117668;0.047184414
168;71;45557;28441;0.197;40.2;2.75;0.508;0.087;0.850878436;0.055082779
39;17;36055;8761;0.259;500.4;2.83;0.441;0.143;0.587710264;0.126484561
125;49;37243;21190;0.236;42.1;2.65;0.487;0.128;0.575667935;0.0636587
36;17;35276;5854;0.251;41;0.0242;0.496;0.065;0.686657682;0.0232
131;46;32711;22574;0.326;37.6;2.55;0.398;0.135;0.492515882;0.071924806
145;45;53542;27103;0.148;41.9;2.68;0.511;0.105;0.733605796;0.045812808